Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas_domestica,wSCUT-1,0.24043520238418978
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_parasalivarius,778-2,0.7484504204637323
Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella_kribbiana,YH-ols2221,0.10369094867774464
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Aphanizomenonaceae,Okeanomitos,Okeanomitos_corallinicola,TIOX110,1.0402256803296979
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_miyakawae,13CB11C,0.4786852591879361
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_nidrosiense,SO-23-1,0.13640145936953552
Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Carnimonas,Carnimonas_bestiolae,LMG_33810,0.31075538576441547
Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,Thermosphaera_chiliense,3507,0.016809158016061296
Bacteria,Aquificota,Aquificia,Aquificales,Aquificaceae,Hydrogenobaculum,Hydrogenobaculum_acidophilum,JCM_8795,0.03131151072150654
Bacteria,Synergistota,Synergistia,Synergistales,Aminiphilaceae,Aminirod,Aminirod_propionatiphilus,L-13,0.1328661902028195
Bacteria,Actinomycetota,Actinomycetes,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus,11B;_ATCC_43068,0.2124499412311776
Bacteria,Bacillota,Bacilli,Caryophanales,Bacillaceae,Terribacillus,Terribacillus_saccharophilus,DSM_18252,0.6040472248893981
Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,Clostridium_colinum,DSM_6011,0.35160340940240664
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Hapalosiphonaceae,Mastigocoleus,Mastigocoleus_testarum,BC008,5.068938719309673
Bacteria,Chlorobiota,Chlorobiia,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobium_ferrooxidans,DSM_13031,0.0360637778178626
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium_aggregatum,IAM_12614,1.787355955608883
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas_sediminicola,DSM_18106,0.38977570708197423
Bacteria,Aquificota,Aquificia,Aquificales,Hydrogenothermaceae,Venenivibrio,Venenivibrio_stagnispumantis,DSM_18763,0.07902520334760627
Bacteria,Actinomycetota,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter_radiotolerans,ATCC_51242,0.27013436671233915
Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Amedibacillus_dolichus,DSM_3991,0.5215881913904887
Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia_hoogstraalii,Croatica,0.10106988564182173
Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Cryptobacterium_curtum,DSM_15641,1.9194758099113727
Bacteria,Cyanobacteriota,Cyanophyceae,Coleofasciculales,Coleofasciculaceae,Moorena,Moorena_producens,3L,0.23851737080314403
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Afipia,Afipia_carboxidovorans,OM5,0.4912534205216167
Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Thermanaerovibrio_acidaminovorans,DSM_6589,0.010869005025523114
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Shinella,Shinella_fusca,CCUG_55808,0.7083472651715158
Archaea,Methanobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus_profundus,DSM_5631,2.244819276567907
Archaea,Methanobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus_placidus,DSM_10642,0.21428357184432373
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Dongiaceae,Dongia,Dongia_soli,D78,0.029478267139954776
Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Chromatium,Chromatium_okenii,DSM_169,0.2322211243813814
Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus,Rhodothermus_profundi,DSM_22212,0.15783061236209914
Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Nostoc,Nostoc_punctiforme,ATCC_29133;_PCC_73102,3.1871357374640095
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_zalophi,ATCC_BAA-2455,0.12765735059080097
Archaea,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,Halogranum_gelatinilyticum,CGMCC_110119,0.18044967064352485
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_atroolivaceus,NRRL_ISP-5137,0.27438593503628467
Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Adhaeribacter,Adhaeribacter_aerolatus,NBRC_106133,0.2298876077241107
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_amakusaensis,JCM_4167,0.0012127828844673593
