tool	rank	metric	sample	value
RaPDTool_full	order	L1 norm error	mock	0.6257383700000001
RaPDTool_full	family	L1 norm error	mock	0.6285369900000002
RaPDTool_full	genus	L1 norm error	mock	0.64409796
RaPDTool_full	species	L1 norm error	mock	0.67245925
RaPDTool_full	na	Weighted UniFrac error	mock	0.03471239294250002
RaPDTool_full	na	Unweighted UniFrac error	mock	9.160769178150005
RaPDTool_full	na	Weighted UniFrac (CAMI)	mock	3.7272333800000004
RaPDTool_full	na	Unweighted UniFrac (CAMI)	mock	1213.99534999
RaPDTool_full	superkingdom	Sum of abundances	mock	1.0
RaPDTool_full	phylum	Sum of abundances	mock	0.99999998
RaPDTool_full	class	Sum of abundances	mock	0.99999997
RaPDTool_full	order	Sum of abundances	mock	1.00000003
RaPDTool_full	family	Sum of abundances	mock	0.9999999900000001
RaPDTool_full	genus	Sum of abundances	mock	0.99999998
RaPDTool_full	species	Sum of abundances	mock	1.00000001
RaPDTool_full	superkingdom	Taxon counts	mock	2.0
RaPDTool_full	phylum	Taxon counts	mock	21.0
RaPDTool_full	class	Taxon counts	mock	33.0
RaPDTool_full	order	Taxon counts	mock	63.0
RaPDTool_full	family	Taxon counts	mock	89.0
RaPDTool_full	genus	Taxon counts	mock	118.0
RaPDTool_full	species	Taxon counts	mock	166.0
Kraken2_full	superkingdom	Bray-Curtis distance	mock	0.0022310350111551243
Kraken2_full	phylum	Bray-Curtis distance	mock	0.11395018329074727
Kraken2_full	class	Bray-Curtis distance	mock	0.24438029133429562
Kraken2_full	order	Bray-Curtis distance	mock	0.2546938358979623
Kraken2_full	family	Bray-Curtis distance	mock	0.2623522093528314
Kraken2_full	genus	Bray-Curtis distance	mock	0.2699627209878382
Kraken2_full	species	Bray-Curtis distance	mock	0.5061541609750546
Kraken2_full	superkingdom	Shannon diversity	mock	0.10412325867295048
Kraken2_full	superkingdom	Shannon equitability	mock	0.09477707444833258
Kraken2_full	phylum	Shannon diversity	mock	1.9394150504136556
Kraken2_full	phylum	Shannon equitability	mock	0.5702153779343053
Kraken2_full	class	Shannon diversity	mock	2.075923238482055
Kraken2_full	class	Shannon equitability	mock	0.504983443197793
Kraken2_full	order	Shannon diversity	mock	2.5252631348393186
Kraken2_full	order	Shannon equitability	mock	0.5019966798716246
Kraken2_full	family	Shannon diversity	mock	2.619800132700247
Kraken2_full	family	Shannon equitability	mock	0.440836038259224
Kraken2_full	genus	Shannon diversity	mock	2.759657771629251
Kraken2_full	genus	Shannon equitability	mock	0.3917724138819616
Kraken2_full	species	Shannon diversity	mock	4.119232921233599
Kraken2_full	species	Shannon equitability	mock	0.49230132433363627
Kraken2_full	superkingdom	True positives	mock	2.0
Kraken2_full	superkingdom	False negatives	mock	0.0
Kraken2_full	superkingdom	False positives	mock	1.0
Kraken2_full	superkingdom	Completeness	mock	1.0
Kraken2_full	superkingdom	Purity	mock	0.6666666666666666
Kraken2_full	superkingdom	F1 score	mock	0.8
Kraken2_full	superkingdom	Jaccard index	mock	0.6666666666666666
Kraken2_full	phylum	True positives	mock	15.0
Kraken2_full	phylum	False negatives	mock	0.0
Kraken2_full	phylum	False positives	mock	15.0
Kraken2_full	phylum	Completeness	mock	1.0
Kraken2_full	phylum	Purity	mock	0.5
Kraken2_full	phylum	F1 score	mock	0.6666666666666666
Kraken2_full	phylum	Jaccard index	mock	0.5
Kraken2_full	class	True positives	mock	17.0
Kraken2_full	class	False negatives	mock	0.0
Kraken2_full	class	False positives	mock	44.0
Kraken2_full	class	Completeness	mock	1.0
Kraken2_full	class	Purity	mock	0.2786885245901639
Kraken2_full	class	F1 score	mock	0.43589743589743585
Kraken2_full	class	Jaccard index	mock	0.2786885245901639
Kraken2_full	order	True positives	mock	19.0
Kraken2_full	order	False negatives	mock	0.0
Kraken2_full	order	False positives	mock	134.0
Kraken2_full	order	Completeness	mock	1.0
Kraken2_full	order	Purity	mock	0.12418300653594772
Kraken2_full	order	F1 score	mock	0.22093023255813954
Kraken2_full	order	Jaccard index	mock	0.12418300653594772
Kraken2_full	family	True positives	mock	18.0
Kraken2_full	family	False negatives	mock	1.0
Kraken2_full	family	False positives	mock	363.0
Kraken2_full	family	Completeness	mock	0.9473684210526315
Kraken2_full	family	Purity	mock	0.047244094488188976
Kraken2_full	family	F1 score	mock	0.09
Kraken2_full	family	Jaccard index	mock	0.04712041884816754
Kraken2_full	genus	True positives	mock	16.0
Kraken2_full	genus	False negatives	mock	3.0
Kraken2_full	genus	False positives	mock	1130.0
Kraken2_full	genus	Completeness	mock	0.8421052631578947
Kraken2_full	genus	Purity	mock	0.013961605584642234
Kraken2_full	genus	F1 score	mock	0.027467811158798282
Kraken2_full	genus	Jaccard index	mock	0.01392515230635335
Kraken2_full	species	True positives	mock	10.0
Kraken2_full	species	False negatives	mock	10.0
Kraken2_full	species	False positives	mock	4294.0
Kraken2_full	species	Completeness	mock	0.5
Kraken2_full	species	Purity	mock	0.0023234200743494425
Kraken2_full	species	F1 score	mock	0.004625346901017576
Kraken2_full	species	Jaccard index	mock	0.0023180343069077423
Kraken2_full	superkingdom	L1 norm error	mock	0.004462069999999899
Kraken2_full	phylum	L1 norm error	mock	0.22790037000000002
Kraken2_full	class	L1 norm error	mock	0.48876059
Kraken2_full	order	L1 norm error	mock	0.50938771
Kraken2_full	family	L1 norm error	mock	0.5247043399999985
Kraken2_full	genus	L1 norm error	mock	0.5399259899999993
Kraken2_full	species	L1 norm error	mock	1.0123143300000021
Kraken2_full	na	Weighted UniFrac error	mock	0.026191403239999942
Kraken2_full	na	Unweighted UniFrac error	mock	223.40408048019086
Kraken2_full	na	Weighted UniFrac (CAMI)	mock	3.307396386302336
Kraken2_full	na	Unweighted UniFrac (CAMI)	mock	31539.998318156657
Kraken2_full	superkingdom	Sum of abundances	mock	0.9999999900000001
Kraken2_full	phylum	Sum of abundances	mock	1.0000000299999998
Kraken2_full	class	Sum of abundances	mock	1.0000000299999998
Kraken2_full	order	Sum of abundances	mock	1.00000015
Kraken2_full	family	Sum of abundances	mock	0.9999996999999999
Kraken2_full	genus	Sum of abundances	mock	1.00000203
Kraken2_full	species	Sum of abundances	mock	1.00001187
Kraken2_full	superkingdom	Taxon counts	mock	3.0
Kraken2_full	phylum	Taxon counts	mock	30.0
Kraken2_full	class	Taxon counts	mock	61.0
Kraken2_full	order	Taxon counts	mock	153.0
Kraken2_full	family	Taxon counts	mock	381.0
Kraken2_full	genus	Taxon counts	mock	1146.0
Kraken2_full	species	Taxon counts	mock	4304.0
Kraken2_16GB	superkingdom	Bray-Curtis distance	mock	0.011464035057320122
Kraken2_16GB	phylum	Bray-Curtis distance	mock	0.13568999864310002
Kraken2_16GB	class	Bray-Curtis distance	mock	0.29668126703318726
Kraken2_16GB	order	Bray-Curtis distance	mock	0.3113809293414279
Kraken2_16GB	family	Bray-Curtis distance	mock	0.3153039452243155
Kraken2_16GB	genus	Bray-Curtis distance	mock	0.320223778118321
Kraken2_16GB	species	Bray-Curtis distance	mock	0.5061515682861758
Kraken2_16GB	superkingdom	Shannon diversity	mock	0.06346717993883655
Kraken2_16GB	superkingdom	Shannon equitability	mock	0.0577703167837129
Kraken2_16GB	phylum	Shannon diversity	mock	1.8533372014778713
Kraken2_16GB	phylum	Shannon equitability	mock	0.5623267403173215
Kraken2_16GB	class	Shannon diversity	mock	1.9016693244730631
Kraken2_16GB	class	Shannon equitability	mock	0.5087847559267314
Kraken2_16GB	order	Shannon diversity	mock	2.317609256166053
Kraken2_16GB	order	Shannon equitability	mock	0.5101164171011784
Kraken2_16GB	family	Shannon diversity	mock	2.353340340458638
Kraken2_16GB	family	Shannon equitability	mock	0.4421070690608688
Kraken2_16GB	genus	Shannon diversity	mock	2.421772278051408
Kraken2_16GB	genus	Shannon equitability	mock	0.3826033270974722
Kraken2_16GB	species	Shannon diversity	mock	3.3784923836985485
Kraken2_16GB	species	Shannon equitability	mock	0.4419264914712754
Kraken2_16GB	superkingdom	True positives	mock	2.0
Kraken2_16GB	superkingdom	False negatives	mock	0.0
Kraken2_16GB	superkingdom	False positives	mock	1.0
Kraken2_16GB	superkingdom	Completeness	mock	1.0
Kraken2_16GB	superkingdom	Purity	mock	0.6666666666666666
Kraken2_16GB	superkingdom	F1 score	mock	0.8
Kraken2_16GB	superkingdom	Jaccard index	mock	0.6666666666666666
Kraken2_16GB	phylum	True positives	mock	15.0
Kraken2_16GB	phylum	False negatives	mock	0.0
Kraken2_16GB	phylum	False positives	mock	12.0
Kraken2_16GB	phylum	Completeness	mock	1.0
Kraken2_16GB	phylum	Purity	mock	0.5555555555555556
Kraken2_16GB	phylum	F1 score	mock	0.7142857142857143
Kraken2_16GB	phylum	Jaccard index	mock	0.5555555555555556
Kraken2_16GB	class	True positives	mock	17.0
Kraken2_16GB	class	False negatives	mock	0.0
Kraken2_16GB	class	False positives	mock	25.0
Kraken2_16GB	class	Completeness	mock	1.0
Kraken2_16GB	class	Purity	mock	0.40476190476190477
Kraken2_16GB	class	F1 score	mock	0.576271186440678
Kraken2_16GB	class	Jaccard index	mock	0.40476190476190477
Kraken2_16GB	order	True positives	mock	19.0
Kraken2_16GB	order	False negatives	mock	0.0
Kraken2_16GB	order	False positives	mock	75.0
Kraken2_16GB	order	Completeness	mock	1.0
Kraken2_16GB	order	Purity	mock	0.20212765957446807
Kraken2_16GB	order	F1 score	mock	0.33628318584070793
Kraken2_16GB	order	Jaccard index	mock	0.20212765957446807
Kraken2_16GB	family	True positives	mock	18.0
Kraken2_16GB	family	False negatives	mock	1.0
Kraken2_16GB	family	False positives	mock	187.0
Kraken2_16GB	family	Completeness	mock	0.9473684210526315
Kraken2_16GB	family	Purity	mock	0.08780487804878048
Kraken2_16GB	family	F1 score	mock	0.1607142857142857
Kraken2_16GB	family	Jaccard index	mock	0.08737864077669903
Kraken2_16GB	genus	True positives	mock	16.0
Kraken2_16GB	genus	False negatives	mock	3.0
Kraken2_16GB	genus	False positives	mock	545.0
Kraken2_16GB	genus	Completeness	mock	0.8421052631578947
Kraken2_16GB	genus	Purity	mock	0.0285204991087344
Kraken2_16GB	genus	F1 score	mock	0.05517241379310344
Kraken2_16GB	genus	Jaccard index	mock	0.028368794326241134
Kraken2_16GB	species	True positives	mock	10.0
Kraken2_16GB	species	False negatives	mock	10.0
Kraken2_16GB	species	False positives	mock	2080.0
Kraken2_16GB	species	Completeness	mock	0.5
Kraken2_16GB	species	Purity	mock	0.004784688995215311
Kraken2_16GB	species	F1 score	mock	0.00947867298578199
Kraken2_16GB	species	Jaccard index	mock	0.004761904761904762
Kraken2_16GB	superkingdom	L1 norm error	mock	0.02292806999999989
Kraken2_16GB	phylum	L1 norm error	mock	0.27138
Kraken2_16GB	class	L1 norm error	mock	0.5933625399999999
Kraken2_16GB	order	L1 norm error	mock	0.6227618399999998
Kraken2_16GB	family	L1 norm error	mock	0.6306078399999996
Kraken2_16GB	genus	L1 norm error	mock	0.6404477899999982
Kraken2_16GB	species	L1 norm error	mock	1.0123038300000116
Kraken2_16GB	na	Weighted UniFrac error	mock	0.031136408439166728
Kraken2_16GB	na	Unweighted UniFrac error	mock	105.83751663316717
Kraken2_16GB	na	Weighted UniFrac (CAMI)	mock	3.7937919639423328
Kraken2_16GB	na	Unweighted UniFrac (CAMI)	mock	15005.999506640002
Kraken2_16GB	superkingdom	Sum of abundances	mock	0.9999999900000001
Kraken2_16GB	phylum	Sum of abundances	mock	1.0000000199999999
Kraken2_16GB	class	Sum of abundances	mock	1.0000000199999999
Kraken2_16GB	order	Sum of abundances	mock	0.99999994
Kraken2_16GB	family	Sum of abundances	mock	0.99999984
Kraken2_16GB	genus	Sum of abundances	mock	1.00000073
Kraken2_16GB	species	Sum of abundances	mock	1.00000137
Kraken2_16GB	superkingdom	Taxon counts	mock	3.0
Kraken2_16GB	phylum	Taxon counts	mock	27.0
Kraken2_16GB	class	Taxon counts	mock	42.0
Kraken2_16GB	order	Taxon counts	mock	94.0
Kraken2_16GB	family	Taxon counts	mock	205.0
Kraken2_16GB	genus	Taxon counts	mock	561.0
Kraken2_16GB	species	Taxon counts	mock	2090.0
Kraken2_8GB	superkingdom	Bray-Curtis distance	mock	0.016293304918533442
Kraken2_8GB	phylum	Bray-Curtis distance	mock	0.14066205570331025
Kraken2_8GB	class	Bray-Curtis distance	mock	0.31466845027997326
Kraken2_8GB	order	Bray-Curtis distance	mock	0.3642214727155707
Kraken2_8GB	family	Bray-Curtis distance	mock	0.3664376253424949
Kraken2_8GB	genus	Bray-Curtis distance	mock	0.36966625030840616
Kraken2_8GB	species	Bray-Curtis distance	mock	0.506445532228421
Kraken2_8GB	superkingdom	Shannon diversity	mock	0.04075554111649632
Kraken2_8GB	superkingdom	Shannon equitability	mock	0.03709729222663788
Kraken2_8GB	phylum	Shannon diversity	mock	1.7992054598477447
Kraken2_8GB	phylum	Shannon equitability	mock	0.5820707696502088
Kraken2_8GB	class	Shannon diversity	mock	1.8258866669236469
Kraken2_8GB	class	Shannon equitability	mock	0.5135605952905614
Kraken2_8GB	order	Shannon diversity	mock	2.2265987253769173
Kraken2_8GB	order	Shannon equitability	mock	0.5110735681339483
Kraken2_8GB	family	Shannon diversity	mock	2.2467268423634237
Kraken2_8GB	family	Shannon equitability	mock	0.4432371875127043
Kraken2_8GB	genus	Shannon diversity	mock	2.2957299453518054
Kraken2_8GB	genus	Shannon equitability	mock	0.3889331787493738
Kraken2_8GB	species	Shannon diversity	mock	2.9799102952346295
Kraken2_8GB	species	Shannon equitability	mock	0.40999158756678017
Kraken2_8GB	superkingdom	True positives	mock	2.0
Kraken2_8GB	superkingdom	False negatives	mock	0.0
